AccID,log2FC,Pvalue,FDR,S2_1,S2_2,S2_3,NC_1,NC_2,NC_3,EnsemblID
VMP1,-0.166432826,0.0002389,0.000666128,2625,2980,3086,2437,3281,3154,ENSG00000062716
VN1R1,0.845553566,0.065063888,0.117489044,25,31,26,8,11,23,ENSG00000178201
VN1R107P,0.785277135,0.442240721,0.564585148,6,5,4,2,1,5,ENSG00000268545
VN1R108P,-1.10715394,0.786137378,1,0,0,0,0,1,0,ENSG00000230772
VN1R110P,3.042667096,0.178196113,1,2,2,1,0,0,0,ENSG00000231725
VN1R20P,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000233121
VN1R42P,0.714119603,0.464337216,0.585834846,6,3,7,2,2,5,ENSG00000223476
VN1R51P,2.736199248,0.000459145,0.001241313,13,18,20,1,2,4,ENSG00000228038
VN1R80P,-0.171663565,0.941697865,1,1,1,0,1,1,0,ENSG00000268598
VN1R83P,0.718836743,0.316176961,0.434211634,10,8,11,5,4,7,ENSG00000268521
VN1R84P,-1.10715394,0.786137378,1,0,0,0,0,1,0,ENSG00000268117
VN2R17P,-1.116339679,0.564547089,1,1,1,0,1,2,1,ENSG00000213014
VOPP1,0.378444901,0.000535637,0.001437712,396,455,439,270,341,288,ENSG00000154978
VPREB3,2.503079687,0.004240062,0.010030401,12,13,12,1,4,1,ENSG00000128218
VPS11,0.200324759,0.007603594,0.017240026,816,921,887,573,791,714,ENSG00000160695
VPS11-DT,0.343495483,0.673504756,0.768077572,11,1,13,6,4,8,NA
VPS13A,0.142897382,0.025079228,0.050822256,1413,1633,1476,1106,1346,1259,ENSG00000197969
VPS13B,0.027417056,0.720736752,0.805078286,775,914,794,603,816,799,ENSG00000132549
VPS13B-DT,-0.281533735,0.687183566,0.777840221,7,5,11,4,10,12,NA
VPS13C,0.191112967,0.004596313,0.010813989,1151,1307,1237,870,1080,984,ENSG00000129003
VPS13D,-0.375512673,2.56E-07,9.32E-07,1124,1311,1147,1299,1520,1380,ENSG00000048707
VPS16,-0.112037898,0.147353266,0.235308481,679,738,746,563,781,788,ENSG00000215305
VPS18,0.903090666,8.46E-37,9.09E-36,1123,1258,1204,471,639,636,ENSG00000104142
VPS25,0.639557556,3.86E-20,2.56E-19,1177,1354,1310,667,816,751,ENSG00000131475
VPS25P1,0.816399412,0.841422154,1,1,0,0,0,0,0,ENSG00000226755
VPS26A,-1.466992334,8.29E-205,7.61E-203,1322,1483,1472,2906,3979,3887,ENSG00000122958
VPS26AP1,-2.945428409,0.13032843,0.212772093,1,0,0,0,2,6,ENSG00000240375
VPS26B,1.163262674,7.60E-75,1.63E-73,1659,1896,1944,655,770,801,ENSG00000151502
VPS26BP1,2.254863121,0.446368152,1,0,1,2,0,0,0,ENSG00000224895
VPS26C,-0.60529031,1.28E-14,6.89E-14,535,581,573,671,832,831,NA
VPS28,0.091908797,0.293443541,0.408951465,582,672,716,431,615,640,ENSG00000160948
VPS29,0.002569782,0.971867822,0.981212705,794,921,923,661,827,906,ENSG00000111237
VPS33A,0.836492765,4.97E-15,2.72E-14,547,639,702,233,343,390,ENSG00000139719
VPS33B,-0.072784304,0.876860191,0.920069399,17,30,24,6,30,34,ENSG00000184056
VPS33B-DT,1.467289244,0.325261704,0.444060465,5,3,1,1,2,0,ENSG00000214432
VPS35,-0.372667484,4.12E-20,2.73E-19,3829,4651,4554,4199,5602,5539,ENSG00000069329
VPS35L,1.423551469,2.36E-13,1.20E-12,238,220,217,88,71,67,NA
VPS36,-0.611751539,1.90E-17,1.14E-16,671,716,732,797,1098,1056,ENSG00000136100
VPS37A,-1.70140606,1.31E-61,2.24E-60,212,220,233,514,734,727,ENSG00000155975
VPS37B,0.280193334,0.007053613,0.016062395,482,572,502,297,400,473,ENSG00000139722
VPS37C,-0.113674507,0.259428538,0.371575139,369,424,468,336,443,462,ENSG00000167987
VPS37D,0.792067049,1.36E-05,4.31E-05,179,152,182,78,97,95,ENSG00000176428
VPS39,0.874402285,4.04E-44,5.04E-43,1659,1908,1888,739,925,1043,ENSG00000166887
VPS39-DT,-0.611442876,0.565587519,0.677681221,3,3,2,4,4,3,NA
VPS41,1.240393078,1.37E-90,3.70E-89,2025,2302,2295,722,975,849,ENSG00000006715
VPS45,0.514802748,1.70E-13,8.69E-13,1061,1252,1163,600,836,778,ENSG00000136631
VPS4A,0.856140847,1.60E-47,2.14E-46,1710,2002,1944,787,992,1061,ENSG00000132612
VPS4B,-1.096472453,1.20E-77,2.71E-76,881,1022,954,1564,2044,1943,ENSG00000119541
VPS50,0.230345034,0.029860816,0.059190128,379,436,408,246,356,349,ENSG00000004766
VPS51,-0.272530857,0.007863979,0.017775575,360,419,414,352,440,520,ENSG00000149823
VPS52,0.779799369,2.49E-17,1.48E-16,591,721,662,294,378,372,ENSG00000223501
VPS53,1.222913714,1.12E-78,2.55E-77,1644,1914,1855,635,739,726,ENSG00000141252
VPS54,0.245146045,0.00017526,0.000496019,1140,1274,1317,764,1030,1074,ENSG00000143952
VPS72,0.790241683,2.79E-24,2.12E-23,1040,1287,1334,572,646,696,ENSG00000163159
VPS8,1.108453749,1.81E-67,3.44E-66,1505,1723,1644,569,752,734,ENSG00000156931
VPS9D1,1.144019041,8.54E-14,4.42E-13,287,329,295,104,109,162,ENSG00000075399
VPS9D1-AS1,0.925398959,9.10E-12,4.28E-11,304,320,317,126,148,177,ENSG00000261373
VRK1,-1.434511378,8.83E-88,2.31E-86,448,540,536,1053,1362,1325,ENSG00000100749
VRK2,-0.208337175,0.041587738,0.079698285,380,383,384,337,448,422,ENSG00000028116
VRK3,0.174581264,0.036313899,0.070541931,592,678,652,433,551,564,ENSG00000105053
VSIG10,0.499863983,1.65E-06,5.69E-06,460,563,491,247,374,356,ENSG00000176834
VSIG10L,0.40107151,0.294139893,0.409818314,46,32,28,19,21,34,ENSG00000186806
VSIG10L-AS1,1.710110516,0.350232006,0.470632929,2,5,0,0,1,1,NA
VSIG2,-2.115036203,0.028464342,0.056763928,1,2,3,4,8,12,ENSG00000019102
VSIR,0.599953779,1.44E-05,4.54E-05,238,262,278,128,164,175,ENSG00000107738
VSTM1,-0.145370756,0.966816527,1,0,1,0,0,0,1,ENSG00000189068
VSTM2L,2.538473436,4.80E-91,1.30E-89,579,652,705,82,106,115,ENSG00000132821
VTA1,-1.835133642,1.94E-167,1.21E-165,467,569,551,1435,1874,1835,ENSG00000009844
VTA1P1,0.643719609,0.393938951,0.516345078,10,6,12,7,7,2,ENSG00000224999
VTI1A,-0.354160861,0.000403681,0.001097147,338,404,372,361,449,484,ENSG00000151532
VTI1B,0.256097784,0.001495532,0.00377954,859,1008,1021,555,775,878,ENSG00000100568
VTI1BP2,1.731768197,0.611333504,1,1,1,0,0,0,0,ENSG00000213434
VTI1BP4,1.482662778,0.426075592,0.548483088,1,2,3,0,2,0,ENSG00000227759
VTN,0.673874607,0.264872116,0.377288571,11,24,10,10,7,8,ENSG00000109072
VTRNA1-2,-1.360821191,0.323531814,0.442246389,2,0,2,5,1,3,ENSG00000202111
VTRNA1-3,-3.5283045,0.045644004,0.086316492,0,0,1,0,5,7,ENSG00000202515
VWA2,-3.733800964,8.54E-09,3.42E-08,3,1,4,27,32,38,ENSG00000165816
VWA5A,0.078992845,0.708966663,0.79543657,103,95,89,75,91,81,ENSG00000110002
VWA5B2,0.51683503,0.068178087,0.122410782,61,62,54,30,44,39,ENSG00000145198
VWA7,-1.621280875,0.054995208,0.101518991,3,4,2,8,10,7,ENSG00000204396
VWA8,0.819890127,1.06E-28,9.23E-28,1042,1272,1216,536,656,619,ENSG00000102763
VWA8-AS1,0.244462024,0.88483197,0.925459868,4,2,0,0,5,0,ENSG00000278338
VWCE,0.349145791,0.468451022,0.58969707,22,17,18,11,14,16,ENSG00000167992
VXN,-1.028878062,0.21345073,0.318486169,4,2,6,8,8,6,NA
Vault,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000252283
Vault,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000252328
Vault,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000252485
Vault,0.816399412,0.841422154,1,0,0,1,0,0,0,ENSG00000278815
Vax2os1_3,2.060178709,0.326382351,1,1,1,3,0,1,0,ENSG00000277764
WAC,-0.209937731,9.16E-07,3.20E-06,3155,3789,3789,3179,4063,4023,ENSG00000095787
WAC-AS1,1.083244162,3.00E-22,2.14E-21,433,549,526,186,219,240,ENSG00000254635
WAKMAR2,0.483956882,0.619714288,0.72380423,7,3,5,2,2,6,NA
WAPL,-0.319631774,9.01E-12,4.24E-11,2387,2885,2758,2640,3256,3184,ENSG00000062650
WAPL-DT,-0.131108352,0.645178843,0.74485988,39,56,45,39,50,50,NA
WARS1,-0.612248999,3.67E-60,6.11E-59,4939,5676,5901,6421,8164,8347,NA
WARS2,0.807927537,6.40E-11,2.88E-10,331,380,366,171,198,188,ENSG00000116874
WARS2-AS1,0.69081822,1.03E-10,4.58E-10,453,511,456,232,285,282,NA
WAS,0.466243878,0.111465861,0.186142247,49,61,58,27,35,49,ENSG00000015285
WASF1,-0.199378456,0.002890462,0.00701306,876,1039,998,885,1077,1070,ENSG00000112290
WASF2,-0.405087534,2.17E-22,1.56E-21,2747,3092,3058,3008,3923,3777,ENSG00000158195
WASF3,0.634219401,0.561831907,0.674239727,3,3,6,2,2,3,ENSG00000132970
WASH2P,0.380417329,0.049541251,0.092708528,118,124,123,79,85,90,ENSG00000146556
WASH4P,0.256147722,0.690051946,0.779969521,7,11,14,8,6,10,ENSG00000234769
WASH5P,-0.918383172,0.024632932,0.050023591,11,20,28,36,36,27,ENSG00000282458
WASH6P,-0.033609508,0.917428745,0.946637091,39,37,47,41,43,29,ENSG00000182484
WASH7P,0.091926341,0.744310895,0.823402329,72,54,55,52,60,42,ENSG00000227232
WASH8P,0.431606341,0.323799188,0.442474721,21,28,22,12,19,17,NA
WASH9P,0.101964279,0.496443532,0.615875992,181,208,188,142,188,158,NA
WASHC1,-0.420787909,0.035744657,0.069570984,93,95,88,108,124,102,ENSG00000181404
WASHC2A,0.843256107,4.07E-67,7.71E-66,3356,3797,3640,1567,2038,1858,ENSG00000099290
WASHC2C,0.880207822,1.50E-56,2.35E-55,2455,2998,2718,1164,1479,1382,ENSG00000172661
WASHC3,0.461385975,0.004723339,0.011086824,166,180,208,100,123,143,ENSG00000120860
